id,x,y,type
0,460.1813396260667,198.36666263286384,road
1,566.6898812044939,247.81705693713343,road
2,623.7480284786512,276.3461305742121,road
3,688.4139287226964,306.77714245376285,road
4,821.5496056957305,369.5411044553359,road
5,886.2155059397757,399.97211633488655,road
6,910.9407030919108,411.3837457897181,road
7,922.352332546742,398.0701780924147,road
8,952.7833444262928,392.364363364999,road
9,956.5872209112366,373.3449809402798,road
10,931.8620237591016,325.79652487848193,road
11,903.3329501220228,341.01203081825724,road
12,992.7240475182032,380.95273391016747,road
13,1045.9783183074164,449.4225106391564,road
14,1034.5666888525852,472.24576954881934,road
15,977.5085415784276,443.7166959117407,road
16,1118.251971521349,525.5000403380329,road
17,1184.8198100078666,597.7736935519656,road
18,1160.0946128557316,658.6357173110669,road
19,1141.0752304310122,692.8706056755614,road
20,1116.3500332788776,727.1054940400559,road
21,1127.7616627337088,755.6345676771346,road
22,1074.507391944495,816.4965914362358,road
23,1078.3112684294392,824.1043444061235,road
24,1091.6248361267426,846.9276033157864,road
25,1104.938403824046,871.6528004679212,road
26,1171.5062423105628,848.8295415582584,road
27,1163.8984893406755,835.5159738609549,road
28,1154.3887981283156,812.6927149512919,road
29,1141.0752304310122,789.869456041629,road
30,1258.9954014642713,687.1647909481457,road
31,1283.7205986164058,662.4395937960107,road
32,1302.7399810411252,647.2240878562354,road
33,1319.8574252233725,626.3027671890444,road
34,1355.9942518303387,670.0473467658984,road
35,1338.8768076480917,685.2628527056737,road
36,1304.641919283597,685.2628527056737,road
37,1297.0341663137096,727.1054940400559,road
38,1335.0729311631476,611.0872612492691,road
39,1342.6806841330354,614.8911377342129,road
40,1354.092313587867,595.8717553094938,road
41,1340.7787458905636,567.342681672415,road
42,1317.9554869809003,521.696163853089,road
43,1321.7593634658442,574.9504346423028,road
44,1298.9361045561814,533.1077933079206,road
45,1247.5837720094396,573.0484963998308,road
46,1268.5050926766307,542.6174845202802,road
47,1258.9954014642713,527.4019785805049,road
48,1245.681833766968,533.1077933079206,road
